Город;Дата;Доля упущенной выручки
Абинск;07.10.2025;0.5%
Ессентуки;07.10.2025;1.09%
Кореновск;07.10.2025;0.48%
Ставрополь-1;07.10.2025;2.77%
Ставрополь-2;07.10.2025;0.92%
Ставрополь-3;07.10.2025;0.75%
Ставрополь-4;07.10.2025;0.36%
Ставрополь-5;07.10.2025;0.00%
Ставрополь-7;07.10.2025;0.00%
Тимашевск;07.10.2025;0.00%
